total_dist_move,total_dwell_time,num_temp_checks,num_purges,num_unretract,num_lines_gcode,total_dist_print,num_fan_off,num_retract,num_bytes_gcode,filename,total_length_extruded,num_redundant_lines,num_lines_comment,num_fan_on,num_temp_changes,naive_print_time,total_temp_increment,num_lines_move,total_temp_decrement
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/08/31/NVlogo-Whistle-positive-X2_XoYlNQd_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
496703.7942,0.071,5,3,174,37666,430725.5573,9,176,1046466,gcode/2016/07/08/15_by_05_by_8in_bar_reoriented.gcode,12080.95282,11,283,3,5,5168.220386,220,34100,220
1399865.851,0.681,5,3,1696,336079,1087717.701,18,1698,9467982,gcode/2016/09/12/adapter_stand_reoriented.gcode,25197.04304,26,893,397,5,31975.25201,220,307120,220
724315.5621,0.724,5,3,1405,214910,485391.6561,7,1407,6027260,gcode/2016/09/18/PP0044-RevD_Camera-Mount_reoriented.gcode,11513.1899,10,936,410,5,23462.97624,220,192607,220
223282.8307,0.204,5,3,1269,51925,138317.5781,16,1271,1451924,gcode/2016/06/21/josue_casa_reoriented.gcode,6720.643178,102,418,232,5,4427.426403,220,44916,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/08/29/NVlogo-Whistle-positive-X2_fF7NCdK_reoriented_3mZbmzo.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/09/20/NVlogo-Whistle-positive-X2_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
178354.4398,0.075,5,3,351,36195,134730.55,7,353,1009741,gcode/2016/07/15/PP0055-RevA_Case-Cable-Mount-PRINT_SQPeKpT_reoriented.gcode,7324.239582,10,289,125,5,4166.347722,220,32558,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/08/31/NVlogo-Whistle-positive-X2_XoYlNQd_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/08/31/NVlogo-Whistle-positive-X2_kOtRudN_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
794708.1912,0.29,5,3,2081,222482,632829.2395,557,2083,6208700,gcode/2016/07/21/benjamin_naval_fleet_5_reoriented.gcode,18184.3895,58,502,646,5,17872.59546,220,195092,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/09/20/NVlogo-Whistle-positive-X2_zZobmyp_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
